City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Isa,AU,2021-03-19 18:17:54,-20.7333,139.5,78.8,50,98,5.75
1,Sao Filipe,CV,2021-03-19 18:19:49,14.8961,-24.4956,74.73,68,0,6.33
2,Kamsack,CA,2021-03-19 18:19:49,51.5667,-101.9009,44.6,70,1,13.8
3,Moron,AR,2021-03-19 18:19:49,-34.6534,-58.6198,75.99,51,50,5.01
4,Koslan,RU,2021-03-19 18:19:50,63.4564,48.8989,13.86,96,99,4.88
5,Punta Arenas,CL,2021-03-19 18:19:50,-53.15,-70.9167,50.0,71,75,19.57
6,Yaan,NG,2021-03-19 18:19:50,7.3833,8.5667,84.51,52,77,10.85
7,Surt,LY,2021-03-19 18:19:51,31.2089,16.5887,65.91,66,14,15.82
8,Port Lincoln,AU,2021-03-19 18:19:51,-34.7333,135.8667,67.5,75,18,14.16
9,Cabo San Lucas,MX,2021-03-19 18:19:51,22.8909,-109.9124,80.01,56,1,4.61
10,Yeniseysk,RU,2021-03-19 18:19:51,58.4497,92.1703,25.0,90,100,9.24
11,Busselton,AU,2021-03-19 18:19:52,-33.65,115.3333,71.8,50,95,6.87
12,Sanson,NZ,2021-03-19 18:19:52,-40.2167,175.4167,46.0,88,0,4.59
13,Ushuaia,AR,2021-03-19 18:15:02,-54.8,-68.3,53.6,47,75,11.5
14,Muzhi,RU,2021-03-19 18:19:53,65.3667,64.6667,-14.3,98,97,8.79
15,Tilichiki,RU,2021-03-19 18:19:53,60.4667,166.1,-6.72,95,100,9.86
16,Vao,NC,2021-03-19 18:19:53,-22.6667,167.4833,76.17,78,100,22.53
17,Kaitangata,NZ,2021-03-19 18:19:54,-46.2817,169.8464,48.61,89,80,8.55
18,Hofn,IS,2021-03-19 18:19:54,64.2539,-15.2082,46.4,93,90,20.71
19,Rikitea,PF,2021-03-19 18:19:54,-23.1203,-134.9692,80.58,76,100,12.64
20,Port Hardy,CA,2021-03-19 18:19:54,50.6996,-127.4199,46.4,81,75,16.11
21,Khatanga,RU,2021-03-19 18:19:55,71.9667,102.5,-31.14,98,100,2.98
22,Bethel,US,2021-03-19 18:19:55,41.3712,-73.414,37.0,40,85,1.01
23,Heinola,FI,2021-03-19 18:19:55,61.2056,26.0381,17.6,57,0,3.44
24,Halifax,CA,2021-03-19 18:19:30,44.6453,-63.5724,19.99,86,100,14.97
25,Codrington,AU,2021-03-19 18:19:56,-38.2667,141.9667,56.98,94,0,8.37
26,Leningradskiy,RU,2021-03-19 18:19:56,69.3833,178.4167,-22.49,82,17,1.83
27,Kapaa,US,2021-03-19 18:19:56,22.0752,-159.319,69.8,78,90,20.71
28,Chokurdakh,RU,2021-03-19 18:19:56,70.6333,147.9167,-16.17,79,99,8.86
29,Vardo,NO,2021-03-19 18:19:57,70.3705,31.1107,23.0,93,75,46.04
30,Bambous Virieux,MU,2021-03-19 18:19:57,-20.3428,57.7575,77.0,88,40,8.05
31,New Norfolk,AU,2021-03-19 18:19:57,-42.7826,147.0587,54.0,71,1,1.79
32,Bonthe,SL,2021-03-19 18:19:58,7.5264,-12.505,82.89,65,18,12.75
33,Ponta Do Sol,PT,2021-03-19 18:19:58,32.6667,-17.1,62.6,55,40,17.27
34,Hobart,AU,2021-03-19 18:19:58,-42.8794,147.3294,54.0,93,3,8.05
35,Abnub,EG,2021-03-19 18:19:58,27.2696,31.1511,71.6,35,0,11.5
36,Jamestown,US,2021-03-19 18:19:59,42.097,-79.2353,39.0,29,1,13.42
37,Boa Vista,BR,2021-03-19 18:19:59,2.8197,-60.6733,89.6,43,75,10.36
38,Qaanaaq,GL,2021-03-19 18:20:00,77.484,-69.3632,-4.86,75,100,1.45
39,Medianeira,BR,2021-03-19 18:20:00,-25.2953,-54.0939,91.4,70,40,3.44
40,High Level,CA,2021-03-19 18:20:00,58.5169,-117.136,32.0,93,90,4.61
41,Flinders,AU,2021-03-19 18:20:01,-34.5833,150.8552,70.0,89,100,4.0
42,Los Llanos De Aridane,ES,2021-03-19 18:20:01,28.6585,-17.9182,66.2,63,20,20.71
43,Lumphat,KH,2021-03-19 18:20:02,13.4878,106.9816,80.55,59,70,5.66
44,Saldanha,ZA,2021-03-19 18:20:02,-33.0117,17.9442,62.6,72,52,9.22
45,Dunedin,NZ,2021-03-19 18:20:02,-45.8742,170.5036,54.0,80,93,4.0
46,Dikson,RU,2021-03-19 18:20:03,73.5069,80.5464,-30.33,91,49,4.03
47,Provideniya,RU,2021-03-19 18:20:03,64.3833,-173.3,-10.64,96,32,14.83
48,Kindu,CD,2021-03-19 18:20:03,-2.95,25.95,77.22,77,90,1.36
49,Longyearbyen,SJ,2021-03-19 18:20:04,78.2186,15.6401,32.0,69,75,12.66
50,Porto-Vecchio,FR,2021-03-19 18:20:04,41.591,9.2795,44.6,81,90,11.5
